institute,gcm,experiment,ensemble,rcm_name,downscale_realisation,variable,institute_rcm
CLMcom-ETH,NCC-NorESM1-M,rcp85,r1i1p1,COSMO-crCLIM-v1-1,v1,clm,CLMcom-ETH-COSMO-crCLIM-v1-1
CLMcom-ETH,NCC-NorESM1-M,rcp85,r1i1p1,COSMO-crCLIM-v1-1,v1,clt,CLMcom-ETH-COSMO-crCLIM-v1-1
CLMcom-ETH,NCC-NorESM1-M,rcp85,r1i1p1,COSMO-crCLIM-v1-1,v1,clh,CLMcom-ETH-COSMO-crCLIM-v1-1
CLMcom-ETH,NCC-NorESM1-M,rcp85,r1i1p1,COSMO-crCLIM-v1-1,v1,cll,CLMcom-ETH-COSMO-crCLIM-v1-1
CLMcom-ETH,NCC-NorESM1-M,rcp85,r1i1p1,COSMO-crCLIM-v1-1,v1,ts,CLMcom-ETH-COSMO-crCLIM-v1-1
CLMcom-ETH,MPI-M-MPI-ESM-LR,historical,r1i1p1,COSMO-crCLIM-v1-1,v1,ts,CLMcom-ETH-COSMO-crCLIM-v1-1
CLMcom-ETH,MPI-M-MPI-ESM-LR,historical,r1i1p1,COSMO-crCLIM-v1-1,v1,huss,CLMcom-ETH-COSMO-crCLIM-v1-1
CLMcom-ETH,MPI-M-MPI-ESM-LR,historical,r1i1p1,COSMO-crCLIM-v1-1,v1,clh,CLMcom-ETH-COSMO-crCLIM-v1-1
CLMcom-ETH,MPI-M-MPI-ESM-LR,historical,r1i1p1,COSMO-crCLIM-v1-1,v1,snw,CLMcom-ETH-COSMO-crCLIM-v1-1
CLMcom-ETH,MPI-M-MPI-ESM-LR,historical,r1i1p1,COSMO-crCLIM-v1-1,v1,rsus,CLMcom-ETH-COSMO-crCLIM-v1-1
CLMcom-ETH,MPI-M-MPI-ESM-LR,historical,r1i1p1,COSMO-crCLIM-v1-1,v1,snc,CLMcom-ETH-COSMO-crCLIM-v1-1
CLMcom-ETH,MPI-M-MPI-ESM-LR,historical,r1i1p1,COSMO-crCLIM-v1-1,v1,rsds,CLMcom-ETH-COSMO-crCLIM-v1-1
CLMcom-ETH,MPI-M-MPI-ESM-LR,historical,r1i1p1,COSMO-crCLIM-v1-1,v1,rlds,CLMcom-ETH-COSMO-crCLIM-v1-1
CLMcom-ETH,MPI-M-MPI-ESM-LR,historical,r1i1p1,COSMO-crCLIM-v1-1,v1,rlus,CLMcom-ETH-COSMO-crCLIM-v1-1
CLMcom-ETH,MPI-M-MPI-ESM-LR,historical,r1i1p1,COSMO-crCLIM-v1-1,v1,hfss,CLMcom-ETH-COSMO-crCLIM-v1-1
CLMcom-ETH,MPI-M-MPI-ESM-LR,historical,r1i1p1,COSMO-crCLIM-v1-1,v1,hfls,CLMcom-ETH-COSMO-crCLIM-v1-1
CLMcom-ETH,MPI-M-MPI-ESM-LR,historical,r1i1p1,COSMO-crCLIM-v1-1,v1,clm,CLMcom-ETH-COSMO-crCLIM-v1-1
CLMcom-ETH,MPI-M-MPI-ESM-LR,historical,r1i1p1,COSMO-crCLIM-v1-1,v1,cll,CLMcom-ETH-COSMO-crCLIM-v1-1
CLMcom-ETH,MPI-M-MPI-ESM-LR,historical,r1i1p1,COSMO-crCLIM-v1-1,v1,clt,CLMcom-ETH-COSMO-crCLIM-v1-1
CLMcom-ETH,MPI-M-MPI-ESM-LR,rcp85,r1i1p1,COSMO-crCLIM-v1-1,v1,snw,CLMcom-ETH-COSMO-crCLIM-v1-1
CLMcom-ETH,MPI-M-MPI-ESM-LR,rcp85,r1i1p1,COSMO-crCLIM-v1-1,v1,rsds,CLMcom-ETH-COSMO-crCLIM-v1-1
CLMcom-ETH,MPI-M-MPI-ESM-LR,rcp85,r1i1p1,COSMO-crCLIM-v1-1,v1,rsus,CLMcom-ETH-COSMO-crCLIM-v1-1
CLMcom-ETH,MPI-M-MPI-ESM-LR,rcp85,r1i1p1,COSMO-crCLIM-v1-1,v1,rlus,CLMcom-ETH-COSMO-crCLIM-v1-1
CLMcom-ETH,MPI-M-MPI-ESM-LR,rcp85,r1i1p1,COSMO-crCLIM-v1-1,v1,snc,CLMcom-ETH-COSMO-crCLIM-v1-1
CLMcom-ETH,MPI-M-MPI-ESM-LR,rcp85,r1i1p1,COSMO-crCLIM-v1-1,v1,huss,CLMcom-ETH-COSMO-crCLIM-v1-1
CLMcom-ETH,MPI-M-MPI-ESM-LR,rcp85,r1i1p1,COSMO-crCLIM-v1-1,v1,rlds,CLMcom-ETH-COSMO-crCLIM-v1-1
CLMcom-ETH,MPI-M-MPI-ESM-LR,rcp85,r1i1p1,COSMO-crCLIM-v1-1,v1,ts,CLMcom-ETH-COSMO-crCLIM-v1-1
CLMcom-ETH,MPI-M-MPI-ESM-LR,rcp85,r1i1p1,COSMO-crCLIM-v1-1,v1,clh,CLMcom-ETH-COSMO-crCLIM-v1-1
CLMcom-ETH,MPI-M-MPI-ESM-LR,rcp85,r1i1p1,COSMO-crCLIM-v1-1,v1,cll,CLMcom-ETH-COSMO-crCLIM-v1-1
CLMcom-ETH,MPI-M-MPI-ESM-LR,rcp85,r1i1p1,COSMO-crCLIM-v1-1,v1,clm,CLMcom-ETH-COSMO-crCLIM-v1-1
CLMcom-ETH,MPI-M-MPI-ESM-LR,rcp85,r1i1p1,COSMO-crCLIM-v1-1,v1,clt,CLMcom-ETH-COSMO-crCLIM-v1-1
CLMcom-ETH,MPI-M-MPI-ESM-LR,rcp85,r1i1p1,COSMO-crCLIM-v1-1,v1,hfss,CLMcom-ETH-COSMO-crCLIM-v1-1
CLMcom-ETH,MPI-M-MPI-ESM-LR,rcp85,r1i1p1,COSMO-crCLIM-v1-1,v1,hfls,CLMcom-ETH-COSMO-crCLIM-v1-1
DMI,MPI-M-MPI-ESM-LR,rcp85,r1i1p1,HIRHAM5,v1,clt,DMI-HIRHAM5
DMI,MPI-M-MPI-ESM-LR,rcp85,r1i1p1,HIRHAM5,v1,rlus,DMI-HIRHAM5
DMI,MPI-M-MPI-ESM-LR,rcp85,r1i1p1,HIRHAM5,v1,hfss,DMI-HIRHAM5
DMI,MPI-M-MPI-ESM-LR,historical,r1i1p1,HIRHAM5,v1,clt,DMI-HIRHAM5
DMI,MPI-M-MPI-ESM-LR,rcp85,r1i1p1,HIRHAM5,v1,rlds,DMI-HIRHAM5
DMI,MPI-M-MPI-ESM-LR,rcp85,r1i1p1,HIRHAM5,v1,snw,DMI-HIRHAM5
DMI,MPI-M-MPI-ESM-LR,rcp85,r1i1p1,HIRHAM5,v1,ts,DMI-HIRHAM5
DMI,MPI-M-MPI-ESM-LR,rcp85,r1i1p1,HIRHAM5,v1,hfls,DMI-HIRHAM5
DMI,MPI-M-MPI-ESM-LR,rcp85,r1i1p1,HIRHAM5,v1,huss,DMI-HIRHAM5
DMI,MPI-M-MPI-ESM-LR,historical,r1i1p1,HIRHAM5,v1,ts,DMI-HIRHAM5
DMI,MPI-M-MPI-ESM-LR,historical,r1i1p1,HIRHAM5,v1,clh,DMI-HIRHAM5
DMI,MPI-M-MPI-ESM-LR,historical,r1i1p1,HIRHAM5,v1,hfss,DMI-HIRHAM5
DMI,MPI-M-MPI-ESM-LR,rcp85,r1i1p1,HIRHAM5,v1,rsds,DMI-HIRHAM5
DMI,MPI-M-MPI-ESM-LR,rcp85,r1i1p1,HIRHAM5,v1,clh,DMI-HIRHAM5
DMI,MPI-M-MPI-ESM-LR,historical,r1i1p1,HIRHAM5,v1,rlds,DMI-HIRHAM5
DMI,MPI-M-MPI-ESM-LR,historical,r1i1p1,HIRHAM5,v1,snw,DMI-HIRHAM5
DMI,MPI-M-MPI-ESM-LR,rcp85,r1i1p1,HIRHAM5,v1,rsus,DMI-HIRHAM5
DMI,MPI-M-MPI-ESM-LR,historical,r1i1p1,HIRHAM5,v1,rsus,DMI-HIRHAM5
DMI,MPI-M-MPI-ESM-LR,rcp85,r1i1p1,HIRHAM5,v1,cll,DMI-HIRHAM5
DMI,MPI-M-MPI-ESM-LR,rcp85,r1i1p1,HIRHAM5,v1,clm,DMI-HIRHAM5
DMI,MPI-M-MPI-ESM-LR,historical,r1i1p1,HIRHAM5,v1,clm,DMI-HIRHAM5
DMI,MPI-M-MPI-ESM-LR,historical,r1i1p1,HIRHAM5,v1,rlus,DMI-HIRHAM5
DMI,MPI-M-MPI-ESM-LR,historical,r1i1p1,HIRHAM5,v1,huss,DMI-HIRHAM5
DMI,MPI-M-MPI-ESM-LR,rcp85,r1i1p1,HIRHAM5,v1,snc,DMI-HIRHAM5
DMI,MPI-M-MPI-ESM-LR,historical,r1i1p1,HIRHAM5,v1,hfls,DMI-HIRHAM5
DMI,MPI-M-MPI-ESM-LR,historical,r1i1p1,HIRHAM5,v1,rsds,DMI-HIRHAM5
DMI,MPI-M-MPI-ESM-LR,historical,r1i1p1,HIRHAM5,v1,cll,DMI-HIRHAM5
DMI,MPI-M-MPI-ESM-LR,historical,r1i1p1,HIRHAM5,v1,snc,DMI-HIRHAM5
CLMcom-ETH,MPI-M-MPI-ESM-LR,historical,r2i1p1,COSMO-crCLIM-v1-1,v1,ts,CLMcom-ETH-COSMO-crCLIM-v1-1
CLMcom-ETH,MPI-M-MPI-ESM-LR,historical,r2i1p1,COSMO-crCLIM-v1-1,v1,snw,CLMcom-ETH-COSMO-crCLIM-v1-1
CLMcom-ETH,MPI-M-MPI-ESM-LR,historical,r2i1p1,COSMO-crCLIM-v1-1,v1,rlus,CLMcom-ETH-COSMO-crCLIM-v1-1
CLMcom-ETH,MPI-M-MPI-ESM-LR,historical,r2i1p1,COSMO-crCLIM-v1-1,v1,rsds,CLMcom-ETH-COSMO-crCLIM-v1-1
CLMcom-ETH,MPI-M-MPI-ESM-LR,historical,r2i1p1,COSMO-crCLIM-v1-1,v1,rsus,CLMcom-ETH-COSMO-crCLIM-v1-1
CLMcom-ETH,MPI-M-MPI-ESM-LR,historical,r2i1p1,COSMO-crCLIM-v1-1,v1,hfls,CLMcom-ETH-COSMO-crCLIM-v1-1
CLMcom-ETH,MPI-M-MPI-ESM-LR,historical,r2i1p1,COSMO-crCLIM-v1-1,v1,hfss,CLMcom-ETH-COSMO-crCLIM-v1-1
CLMcom-ETH,MPI-M-MPI-ESM-LR,historical,r2i1p1,COSMO-crCLIM-v1-1,v1,rlds,CLMcom-ETH-COSMO-crCLIM-v1-1
CLMcom-ETH,MPI-M-MPI-ESM-LR,historical,r2i1p1,COSMO-crCLIM-v1-1,v1,snc,CLMcom-ETH-COSMO-crCLIM-v1-1
CLMcom-ETH,MPI-M-MPI-ESM-LR,historical,r2i1p1,COSMO-crCLIM-v1-1,v1,cll,CLMcom-ETH-COSMO-crCLIM-v1-1
CLMcom-ETH,MPI-M-MPI-ESM-LR,historical,r2i1p1,COSMO-crCLIM-v1-1,v1,clm,CLMcom-ETH-COSMO-crCLIM-v1-1
CLMcom-ETH,MPI-M-MPI-ESM-LR,historical,r2i1p1,COSMO-crCLIM-v1-1,v1,clt,CLMcom-ETH-COSMO-crCLIM-v1-1
CLMcom-ETH,MPI-M-MPI-ESM-LR,historical,r2i1p1,COSMO-crCLIM-v1-1,v1,huss,CLMcom-ETH-COSMO-crCLIM-v1-1
CLMcom-ETH,MPI-M-MPI-ESM-LR,historical,r2i1p1,COSMO-crCLIM-v1-1,v1,clh,CLMcom-ETH-COSMO-crCLIM-v1-1
CLMcom-ETH,MPI-M-MPI-ESM-LR,historical,r3i1p1,COSMO-crCLIM-v1-1,v1,clt,CLMcom-ETH-COSMO-crCLIM-v1-1
CLMcom-ETH,MPI-M-MPI-ESM-LR,historical,r3i1p1,COSMO-crCLIM-v1-1,v1,hfls,CLMcom-ETH-COSMO-crCLIM-v1-1
CLMcom-ETH,MPI-M-MPI-ESM-LR,historical,r3i1p1,COSMO-crCLIM-v1-1,v1,hfss,CLMcom-ETH-COSMO-crCLIM-v1-1
CLMcom-ETH,MPI-M-MPI-ESM-LR,historical,r3i1p1,COSMO-crCLIM-v1-1,v1,rsus,CLMcom-ETH-COSMO-crCLIM-v1-1
CLMcom-ETH,MPI-M-MPI-ESM-LR,historical,r3i1p1,COSMO-crCLIM-v1-1,v1,rlds,CLMcom-ETH-COSMO-crCLIM-v1-1
CLMcom-ETH,MPI-M-MPI-ESM-LR,historical,r3i1p1,COSMO-crCLIM-v1-1,v1,rlus,CLMcom-ETH-COSMO-crCLIM-v1-1
CLMcom-ETH,MPI-M-MPI-ESM-LR,historical,r3i1p1,COSMO-crCLIM-v1-1,v1,rsds,CLMcom-ETH-COSMO-crCLIM-v1-1
CLMcom-ETH,MPI-M-MPI-ESM-LR,historical,r3i1p1,COSMO-crCLIM-v1-1,v1,clh,CLMcom-ETH-COSMO-crCLIM-v1-1
CLMcom-ETH,MPI-M-MPI-ESM-LR,historical,r3i1p1,COSMO-crCLIM-v1-1,v1,cll,CLMcom-ETH-COSMO-crCLIM-v1-1
CLMcom-ETH,MPI-M-MPI-ESM-LR,historical,r3i1p1,COSMO-crCLIM-v1-1,v1,clm,CLMcom-ETH-COSMO-crCLIM-v1-1
CLMcom-ETH,MPI-M-MPI-ESM-LR,historical,r3i1p1,COSMO-crCLIM-v1-1,v1,snc,CLMcom-ETH-COSMO-crCLIM-v1-1
CLMcom-ETH,MPI-M-MPI-ESM-LR,historical,r3i1p1,COSMO-crCLIM-v1-1,v1,snw,CLMcom-ETH-COSMO-crCLIM-v1-1
CLMcom-ETH,MPI-M-MPI-ESM-LR,historical,r3i1p1,COSMO-crCLIM-v1-1,v1,huss,CLMcom-ETH-COSMO-crCLIM-v1-1
CLMcom-ETH,MPI-M-MPI-ESM-LR,historical,r3i1p1,COSMO-crCLIM-v1-1,v1,ts,CLMcom-ETH-COSMO-crCLIM-v1-1
CLMcom-ETH,MPI-M-MPI-ESM-LR,rcp85,r2i1p1,COSMO-crCLIM-v1-1,v1,huss,CLMcom-ETH-COSMO-crCLIM-v1-1
CLMcom-ETH,MPI-M-MPI-ESM-LR,rcp85,r2i1p1,COSMO-crCLIM-v1-1,v1,rlds,CLMcom-ETH-COSMO-crCLIM-v1-1
CLMcom-ETH,MPI-M-MPI-ESM-LR,rcp85,r2i1p1,COSMO-crCLIM-v1-1,v1,rlus,CLMcom-ETH-COSMO-crCLIM-v1-1
CLMcom-ETH,MPI-M-MPI-ESM-LR,rcp85,r2i1p1,COSMO-crCLIM-v1-1,v1,rsds,CLMcom-ETH-COSMO-crCLIM-v1-1
CLMcom-ETH,MPI-M-MPI-ESM-LR,rcp85,r2i1p1,COSMO-crCLIM-v1-1,v1,rsus,CLMcom-ETH-COSMO-crCLIM-v1-1
CLMcom-ETH,MPI-M-MPI-ESM-LR,rcp85,r2i1p1,COSMO-crCLIM-v1-1,v1,snc,CLMcom-ETH-COSMO-crCLIM-v1-1
CLMcom-ETH,MPI-M-MPI-ESM-LR,rcp85,r2i1p1,COSMO-crCLIM-v1-1,v1,clh,CLMcom-ETH-COSMO-crCLIM-v1-1
CLMcom-ETH,MPI-M-MPI-ESM-LR,rcp85,r2i1p1,COSMO-crCLIM-v1-1,v1,cll,CLMcom-ETH-COSMO-crCLIM-v1-1
CLMcom-ETH,MPI-M-MPI-ESM-LR,rcp85,r2i1p1,COSMO-crCLIM-v1-1,v1,clm,CLMcom-ETH-COSMO-crCLIM-v1-1
CLMcom-ETH,MPI-M-MPI-ESM-LR,rcp85,r2i1p1,COSMO-crCLIM-v1-1,v1,clt,CLMcom-ETH-COSMO-crCLIM-v1-1
CLMcom-ETH,MPI-M-MPI-ESM-LR,rcp85,r2i1p1,COSMO-crCLIM-v1-1,v1,hfls,CLMcom-ETH-COSMO-crCLIM-v1-1
CLMcom-ETH,MPI-M-MPI-ESM-LR,rcp85,r2i1p1,COSMO-crCLIM-v1-1,v1,hfss,CLMcom-ETH-COSMO-crCLIM-v1-1
CLMcom-ETH,MPI-M-MPI-ESM-LR,rcp85,r2i1p1,COSMO-crCLIM-v1-1,v1,snw,CLMcom-ETH-COSMO-crCLIM-v1-1
CLMcom-ETH,MPI-M-MPI-ESM-LR,rcp85,r2i1p1,COSMO-crCLIM-v1-1,v1,ts,CLMcom-ETH-COSMO-crCLIM-v1-1
CLMcom-ETH,MOHC-HadGEM2-ES,rcp85,r1i1p1,COSMO-crCLIM-v1-1,v1,rsds,CLMcom-ETH-COSMO-crCLIM-v1-1
CLMcom-ETH,MOHC-HadGEM2-ES,rcp85,r1i1p1,COSMO-crCLIM-v1-1,v1,rsus,CLMcom-ETH-COSMO-crCLIM-v1-1
CLMcom-ETH,MOHC-HadGEM2-ES,rcp85,r1i1p1,COSMO-crCLIM-v1-1,v1,rlds,CLMcom-ETH-COSMO-crCLIM-v1-1
CLMcom-ETH,MOHC-HadGEM2-ES,rcp85,r1i1p1,COSMO-crCLIM-v1-1,v1,rlus,CLMcom-ETH-COSMO-crCLIM-v1-1
CLMcom-ETH,MOHC-HadGEM2-ES,rcp85,r1i1p1,COSMO-crCLIM-v1-1,v1,snc,CLMcom-ETH-COSMO-crCLIM-v1-1
CLMcom-ETH,MOHC-HadGEM2-ES,rcp85,r1i1p1,COSMO-crCLIM-v1-1,v1,snw,CLMcom-ETH-COSMO-crCLIM-v1-1
CLMcom-ETH,MOHC-HadGEM2-ES,rcp85,r1i1p1,COSMO-crCLIM-v1-1,v1,ts,CLMcom-ETH-COSMO-crCLIM-v1-1
GERICS,CNRM-CERFACS-CNRM-CM5,rcp85,r1i1p1,REMO2015,v2,ts,GERICS-REMO2015
GERICS,CNRM-CERFACS-CNRM-CM5,rcp85,r1i1p1,REMO2015,v2,snw,GERICS-REMO2015
GERICS,CNRM-CERFACS-CNRM-CM5,rcp85,r1i1p1,REMO2015,v2,rsds,GERICS-REMO2015
GERICS,CNRM-CERFACS-CNRM-CM5,rcp85,r1i1p1,REMO2015,v2,rsus,GERICS-REMO2015
GERICS,IPSL-IPSL-CM5A-MR,rcp85,r1i1p1,REMO2015,v1,ts,GERICS-REMO2015
GERICS,IPSL-IPSL-CM5A-MR,rcp85,r1i1p1,REMO2015,v1,snw,GERICS-REMO2015
CLMcom-ETH,MOHC-HadGEM2-ES,rcp85,r1i1p1,COSMO-crCLIM-v1-1,v1,clh,CLMcom-ETH-COSMO-crCLIM-v1-1
CLMcom-ETH,MOHC-HadGEM2-ES,rcp85,r1i1p1,COSMO-crCLIM-v1-1,v1,cll,CLMcom-ETH-COSMO-crCLIM-v1-1
CLMcom-ETH,MOHC-HadGEM2-ES,rcp85,r1i1p1,COSMO-crCLIM-v1-1,v1,clm,CLMcom-ETH-COSMO-crCLIM-v1-1
CLMcom-ETH,MOHC-HadGEM2-ES,rcp85,r1i1p1,COSMO-crCLIM-v1-1,v1,clt,CLMcom-ETH-COSMO-crCLIM-v1-1
CLMcom-ETH,MOHC-HadGEM2-ES,rcp85,r1i1p1,COSMO-crCLIM-v1-1,v1,hfls,CLMcom-ETH-COSMO-crCLIM-v1-1
CLMcom-ETH,MOHC-HadGEM2-ES,rcp85,r1i1p1,COSMO-crCLIM-v1-1,v1,hfss,CLMcom-ETH-COSMO-crCLIM-v1-1
CLMcom-ETH,MOHC-HadGEM2-ES,rcp85,r1i1p1,COSMO-crCLIM-v1-1,v1,huss,CLMcom-ETH-COSMO-crCLIM-v1-1
GERICS,CNRM-CERFACS-CNRM-CM5,rcp85,r1i1p1,REMO2015,v2,rlds,GERICS-REMO2015
GERICS,CNRM-CERFACS-CNRM-CM5,rcp85,r1i1p1,REMO2015,v2,rlus,GERICS-REMO2015
GERICS,CNRM-CERFACS-CNRM-CM5,rcp85,r1i1p1,REMO2015,v2,clt,GERICS-REMO2015
GERICS,CNRM-CERFACS-CNRM-CM5,rcp85,r1i1p1,REMO2015,v2,hfls,GERICS-REMO2015
GERICS,CNRM-CERFACS-CNRM-CM5,rcp85,r1i1p1,REMO2015,v2,hfss,GERICS-REMO2015
GERICS,CNRM-CERFACS-CNRM-CM5,rcp85,r1i1p1,REMO2015,v2,huss,GERICS-REMO2015
GERICS,IPSL-IPSL-CM5A-MR,rcp85,r1i1p1,REMO2015,v1,hfls,GERICS-REMO2015
GERICS,IPSL-IPSL-CM5A-MR,rcp85,r1i1p1,REMO2015,v1,hfss,GERICS-REMO2015
GERICS,IPSL-IPSL-CM5A-MR,rcp85,r1i1p1,REMO2015,v1,rlus,GERICS-REMO2015
GERICS,IPSL-IPSL-CM5A-MR,rcp85,r1i1p1,REMO2015,v1,rsds,GERICS-REMO2015
GERICS,IPSL-IPSL-CM5A-MR,rcp85,r1i1p1,REMO2015,v1,rsus,GERICS-REMO2015
GERICS,IPSL-IPSL-CM5A-MR,rcp85,r1i1p1,REMO2015,v1,clt,GERICS-REMO2015
GERICS,IPSL-IPSL-CM5A-MR,rcp85,r1i1p1,REMO2015,v1,rlds,GERICS-REMO2015
GERICS,IPSL-IPSL-CM5A-MR,rcp85,r1i1p1,REMO2015,v1,huss,GERICS-REMO2015
CLMcom-ETH,MPI-M-MPI-ESM-LR,rcp85,r3i1p1,COSMO-crCLIM-v1-1,v1,clh,CLMcom-ETH-COSMO-crCLIM-v1-1
CLMcom-ETH,MPI-M-MPI-ESM-LR,rcp85,r3i1p1,COSMO-crCLIM-v1-1,v1,cll,CLMcom-ETH-COSMO-crCLIM-v1-1
CLMcom-ETH,MPI-M-MPI-ESM-LR,rcp85,r3i1p1,COSMO-crCLIM-v1-1,v1,clm,CLMcom-ETH-COSMO-crCLIM-v1-1
CLMcom-ETH,MPI-M-MPI-ESM-LR,rcp85,r3i1p1,COSMO-crCLIM-v1-1,v1,clt,CLMcom-ETH-COSMO-crCLIM-v1-1
CLMcom-ETH,MPI-M-MPI-ESM-LR,rcp85,r3i1p1,COSMO-crCLIM-v1-1,v1,hfls,CLMcom-ETH-COSMO-crCLIM-v1-1
CLMcom-ETH,MPI-M-MPI-ESM-LR,rcp85,r3i1p1,COSMO-crCLIM-v1-1,v1,hfss,CLMcom-ETH-COSMO-crCLIM-v1-1
CLMcom-ETH,MPI-M-MPI-ESM-LR,rcp85,r3i1p1,COSMO-crCLIM-v1-1,v1,ts,CLMcom-ETH-COSMO-crCLIM-v1-1
CLMcom-ETH,MPI-M-MPI-ESM-LR,rcp85,r3i1p1,COSMO-crCLIM-v1-1,v1,rlds,CLMcom-ETH-COSMO-crCLIM-v1-1
CLMcom-ETH,MPI-M-MPI-ESM-LR,rcp85,r3i1p1,COSMO-crCLIM-v1-1,v1,rlus,CLMcom-ETH-COSMO-crCLIM-v1-1
CLMcom-ETH,MPI-M-MPI-ESM-LR,rcp85,r3i1p1,COSMO-crCLIM-v1-1,v1,rsds,CLMcom-ETH-COSMO-crCLIM-v1-1
CLMcom-ETH,MPI-M-MPI-ESM-LR,rcp85,r3i1p1,COSMO-crCLIM-v1-1,v1,rsus,CLMcom-ETH-COSMO-crCLIM-v1-1
CLMcom-ETH,MPI-M-MPI-ESM-LR,rcp85,r3i1p1,COSMO-crCLIM-v1-1,v1,snc,CLMcom-ETH-COSMO-crCLIM-v1-1
CLMcom-ETH,MPI-M-MPI-ESM-LR,rcp85,r3i1p1,COSMO-crCLIM-v1-1,v1,huss,CLMcom-ETH-COSMO-crCLIM-v1-1
CLMcom-ETH,MPI-M-MPI-ESM-LR,rcp85,r3i1p1,COSMO-crCLIM-v1-1,v1,snw,CLMcom-ETH-COSMO-crCLIM-v1-1
KNMI,IPSL-IPSL-CM5A-MR,historical,r1i1p1,RACMO22E,v1,snw,KNMI-RACMO22E
KNMI,IPSL-IPSL-CM5A-MR,historical,r1i1p1,RACMO22E,v1,snc,KNMI-RACMO22E
KNMI,IPSL-IPSL-CM5A-MR,rcp85,r1i1p1,RACMO22E,v1,cll,KNMI-RACMO22E
KNMI,IPSL-IPSL-CM5A-MR,rcp85,r1i1p1,RACMO22E,v1,clm,KNMI-RACMO22E
KNMI,IPSL-IPSL-CM5A-MR,rcp85,r1i1p1,RACMO22E,v1,clt,KNMI-RACMO22E
KNMI,IPSL-IPSL-CM5A-MR,rcp85,r1i1p1,RACMO22E,v1,rsds,KNMI-RACMO22E
KNMI,IPSL-IPSL-CM5A-MR,rcp85,r1i1p1,RACMO22E,v1,rsus,KNMI-RACMO22E
KNMI,IPSL-IPSL-CM5A-MR,rcp85,r1i1p1,RACMO22E,v1,snc,KNMI-RACMO22E
KNMI,IPSL-IPSL-CM5A-MR,historical,r1i1p1,RACMO22E,v1,rlds,KNMI-RACMO22E
KNMI,IPSL-IPSL-CM5A-MR,historical,r1i1p1,RACMO22E,v1,rlus,KNMI-RACMO22E
KNMI,IPSL-IPSL-CM5A-MR,rcp85,r1i1p1,RACMO22E,v1,hfss,KNMI-RACMO22E
KNMI,IPSL-IPSL-CM5A-MR,rcp85,r1i1p1,RACMO22E,v1,hfls,KNMI-RACMO22E
KNMI,IPSL-IPSL-CM5A-MR,historical,r1i1p1,RACMO22E,v1,rsds,KNMI-RACMO22E
KNMI,IPSL-IPSL-CM5A-MR,historical,r1i1p1,RACMO22E,v1,rsus,KNMI-RACMO22E
KNMI,IPSL-IPSL-CM5A-MR,rcp85,r1i1p1,RACMO22E,v1,huss,KNMI-RACMO22E
KNMI,IPSL-IPSL-CM5A-MR,rcp85,r1i1p1,RACMO22E,v1,snw,KNMI-RACMO22E
KNMI,IPSL-IPSL-CM5A-MR,historical,r1i1p1,RACMO22E,v1,clh,KNMI-RACMO22E
KNMI,IPSL-IPSL-CM5A-MR,historical,r1i1p1,RACMO22E,v1,cll,KNMI-RACMO22E
KNMI,IPSL-IPSL-CM5A-MR,historical,r1i1p1,RACMO22E,v1,clm,KNMI-RACMO22E
KNMI,IPSL-IPSL-CM5A-MR,historical,r1i1p1,RACMO22E,v1,clt,KNMI-RACMO22E
KNMI,IPSL-IPSL-CM5A-MR,historical,r1i1p1,RACMO22E,v1,ts,KNMI-RACMO22E
KNMI,IPSL-IPSL-CM5A-MR,rcp85,r1i1p1,RACMO22E,v1,clh,KNMI-RACMO22E
KNMI,IPSL-IPSL-CM5A-MR,rcp85,r1i1p1,RACMO22E,v1,rlds,KNMI-RACMO22E
KNMI,IPSL-IPSL-CM5A-MR,rcp85,r1i1p1,RACMO22E,v1,rlus,KNMI-RACMO22E
KNMI,IPSL-IPSL-CM5A-MR,historical,r1i1p1,RACMO22E,v1,hfss,KNMI-RACMO22E
KNMI,IPSL-IPSL-CM5A-MR,historical,r1i1p1,RACMO22E,v1,hfls,KNMI-RACMO22E
KNMI,IPSL-IPSL-CM5A-MR,historical,r1i1p1,RACMO22E,v1,huss,KNMI-RACMO22E
KNMI,IPSL-IPSL-CM5A-MR,rcp85,r1i1p1,RACMO22E,v1,ts,KNMI-RACMO22E
CLMcom-ETH,MOHC-HadGEM2-ES,historical,r1i1p1,COSMO-crCLIM-v1-1,v1,rsus,CLMcom-ETH-COSMO-crCLIM-v1-1
CLMcom-ETH,MOHC-HadGEM2-ES,historical,r1i1p1,COSMO-crCLIM-v1-1,v1,snc,CLMcom-ETH-COSMO-crCLIM-v1-1
CLMcom-ETH,MOHC-HadGEM2-ES,historical,r1i1p1,COSMO-crCLIM-v1-1,v1,snw,CLMcom-ETH-COSMO-crCLIM-v1-1
CLMcom-ETH,MOHC-HadGEM2-ES,historical,r1i1p1,COSMO-crCLIM-v1-1,v1,ts,CLMcom-ETH-COSMO-crCLIM-v1-1
CLMcom-ETH,ICHEC-EC-EARTH,rcp85,r12i1p1,COSMO-crCLIM-v1-1,v1,ts,CLMcom-ETH-COSMO-crCLIM-v1-1
CLMcom-ETH,MOHC-HadGEM2-ES,historical,r1i1p1,COSMO-crCLIM-v1-1,v1,rlds,CLMcom-ETH-COSMO-crCLIM-v1-1
CLMcom-ETH,MOHC-HadGEM2-ES,historical,r1i1p1,COSMO-crCLIM-v1-1,v1,rlus,CLMcom-ETH-COSMO-crCLIM-v1-1
